year,state,fips,table_data,high_value,low_value,cpi,high_2018,low_2018
1968,Vermont,50,1.40,1.40,1.40,34.78,10.08,10.08
1968,Virginia,51,1.34,1.34,1.34,34.78,9.89,9.89
1968,Washington,53,1.60,1.60,1.60,34.78,11.52,11.52
1968,West Virginia,54,1.00,1.00,1.00,34.78,7.20,7.20
1968,Wisconsin,55,1.25,1.25,1.25,34.78,9.00,9.00
1968,Wyoming,56,1.20,1.20,1.20,34.78,8.64,8.64
1969,Alabama,1,1.34,1.34,1.34,36.68,9.47,9.47
1969,Alaska,2,2.10,2.10,2.10,36.68,14.33,14.33
1969,Arizona,4,0.13,0.66,0.47,36.68,4.51,3.19
1969,Arkansas,5,0.05,0.16,0.16,36.68,1.07,1.07
1969,California,6,1.65,1.65,1.65,36.68,11.26,11.26
1969,Colorado,8,1.13,1.25,1.00,36.68,8.53,6.83
1969,Connecticut,9,1.40,1.40,1.40,36.68,9.56,9.56
1969,Delaware,10,1.25,1.25,1.25,36.68,8.53,8.53
1969,District of Columbia,,1.33,1.40,1.25,36.68,9.56,8.53
1969,Federal (FLSA),,1.34,1.60,1.15,36.68,10.92,7.85
1969,Florida,12,1.34,1.34,1.34,36.68,9.47,9.47
1969,Georgia,13,1.34,1.34,1.34,36.68,9.47,9.47
1969,Hawaii,15,1.25,1.25,1.25,36.68,8.53,8.53
1969,Idaho,16,1.15,1.15,1.15,36.68,7.85,7.85
1969,Illinois,17,1.34,1.34,1.34,36.68,9.47,9.47
1969,Indiana,18,1.15,1.15,1.15,36.68,7.85,7.85
1969,Iowa,19,1.34,1.34,1.34,36.68,9.47,9.47
1969,Kansas,20,1.34,1.34,1.34,36.68,9.47,9.47
1969,Kentucky,21,0.70,0.75,0.65,36.68,5.12,4.44
1969,Louisiana,22,1.34,1.34,1.34,36.68,9.47,9.47
1969,Maine,23,1.40,1.40,1.40,36.68,9.56,9.56
1969,Maryland,24,1.03,1.15,1.00,36.68,7.85,6.83
1969,Massachusetts,25,1.60,1.60,1.60,36.68,10.92,10.92
1969,Michigan,26,1.25,1.25,1.25,36.68,8.53,8.53
1969,Minnesota,27,0.93,1.15,0.70,36.68,7.85,4.78
1969,Mississippi,28,1.34,1.34,1.34,36.68,9.47,9.47
1969,Missouri,29,1.34,1.34,1.34,36.68,9.47,9.47
1969,Montana,30,1.34,1.34,1.34,36.68,9.47,9.47
1969,Nebraska,31,1.00,1.00,1.00,36.68,6.83,6.83
1969,Nevada,32,1.25,1.25,1.25,36.68,8.53,8.53
1969,New Hampshire,33,1.40,1.40,1.40,36.68,9.56,9.56
1969,New Jersey,34,1.40,1.40,1.40,36.68,9.56,9.56
1969,New Mexico,35,1.28,1.40,1.15,36.68,9.56,7.85
1969,New York,36,1.60,1.60,1.60,36.68,10.92,10.92
1969,North Carolina,37,1.00,1.00,1.00,36.68,6.83,6.83
1969,North Dakota,38,1.13,1.25,1.00,36.68,8.53,6.83
1969,Ohio,39,1.00,1.25,0.75,36.68,8.53,5.12
1969,Oklahoma,40,1.00,1.00,1.00,36.68,6.83,6.83
1969,Oregon,41,1.25,1.25,1.25,36.68,8.53,8.53
1969,Pennsylvania,42,1.15,1.15,1.15,36.68,7.85,7.85
1969,Rhode Island,44,1.40,1.40,1.40,36.68,9.56,9.56
1969,South Carolina,45,1.34,1.34,1.34,36.68,9.47,9.47
1969,South Dakota,46,0.11,0.50,0.43,36.68,3.41,2.90
1969,Tennessee,47,1.34,1.34,1.34,36.68,9.47,9.47
1969,Texas,48,1.34,1.34,1.34,36.68,9.47,9.47
1969,Utah,49,1.03,1.15,1.00,36.68,7.85,6.83
1969,Vermont,50,1.40,1.40,1.40,36.68,9.56,9.56
1969,Virginia,51,1.34,1.34,1.34,36.68,9.47,9.47
1969,Washington,53,1.60,1.60,1.60,36.68,10.92,10.92
1969,West Virginia,54,1.00,1.00,1.00,36.68,6.83,6.83
1969,Wisconsin,55,1.25,1.25,1.25,36.68,8.53,8.53
1969,Wyoming,56,1.20,1.20,1.20,36.68,8.19,8.19
1970,Alabama,1,1.45,1.45,1.45,38.83,9.66,9.66
1970,Alaska,2,2.10,2.10,2.10,38.83,13.54,13.54
1970,Arizona,4,0.13,0.66,0.47,38.83,4.26,3.02
1970,Arkansas,5,1.10,1.10,1.10,38.83,7.09,7.09
1970,California,6,1.65,1.65,1.65,38.83,10.64,10.64
1970,Colorado,8,1.13,1.25,1.00,38.83,8.06,6.45
1970,Connecticut,9,1.60,1.60,1.60,38.83,10.32,10.32
1970,Delaware,10,1.25,1.25,1.25,38.83,8.06,8.06
1970,District of Columbia,,1.80,2.00,1.60,38.83,12.90,10.32
1970,Federal (FLSA),,1.45,1.60,1.30,38.83,10.32,8.38
1970,Florida,12,1.45,1.45,1.45,38.83,9.66,9.66
1970,Georgia,13,1.45,1.45,1.45,38.83,9.66,9.66
1970,Hawaii,15,1.60,1.60,1.60,38.83,10.32,10.32
1970,Idaho,16,1.25,1.25,1.25,38.83,8.06,8.06
1970,Illinois,17,1.45,1.45,1.45,38.83,9.66,9.66
1970,Indiana,18,1.25,1.25,1.25,38.83,8.06,8.06
1970,Iowa,19,1.45,1.45,1.45,38.83,9.66,9.66
1970,Kansas,20,1.45,1.45,1.45,38.83,9.66,9.66
1970,Kentucky,21,0.70,0.75,0.65,38.83,4.84,4.19
1970,Louisiana,22,1.45,1.45,1.45,38.83,9.66,9.66
1970,Maine,23,1.60,1.60,1.60,38.83,10.32,10.32
1970,Maryland,24,1.30,1.30,1.30,38.83,8.38,8.38
1970,Massachusetts,25,1.60,1.60,1.60,38.83,10.32,10.32
1970,Michigan,26,1.25,1.25,1.25,38.83,8.06,8.06
1970,Minnesota,27,0.93,1.15,0.70,38.83,7.42,4.51
1970,Mississippi,28,1.45,1.45,1.45,38.83,9.66,9.66
1970,Missouri,29,1.45,1.45,1.45,38.83,9.66,9.66
1970,Montana,30,1.45,1.45,1.45,38.83,9.66,9.66
1970,Nebraska,31,1.00,1.00,1.00,38.83,6.45,6.45
1970,Nevada,32,1.30,1.30,1.30,38.83,8.38,8.38
1970,New Hampshire,33,1.53,1.60,1.45,38.83,10.32,9.35
1970,New Jersey,34,1.50,1.50,1.50,38.83,9.67,9.67
1970,New Mexico,35,1.45,1.60,1.30,38.83,10.32,8.38
1970,New York,36,1.60,1.60,1.60,38.83,10.32,10.32
1970,North Carolina,37,1.25,1.25,1.25,38.83,8.06,8.06
1970,North Dakota,38,1.23,1.45,1.00,38.83,9.35,6.45
1970,Ohio,39,1.00,1.25,0.75,38.83,8.06,4.84
1970,Oklahoma,40,1.00,1.00,1.00,38.83,6.45,6.45
1970,Oregon,41,1.25,1.25,1.25,38.83,8.06,8.06
1970,Pennsylvania,42,1.30,1.30,1.30,38.83,8.38,8.38
1970,Rhode Island,44,1.60,1.60,1.60,38.83,10.32,10.32
1970,South Carolina,45,1.45,1.45,1.45,38.83,9.66,9.66
1970,South Dakota,46,1.00,1.00,1.00,38.83,6.45,6.45
1970,Tennessee,47,1.45,1.45,1.45,38.83,9.66,9.66
1970,Texas,48,1.45,1.45,1.45,38.83,9.66,9.66
1970,Utah,49,1.08,1.15,1.00,38.83,7.42,6.45
1970,Vermont,50,1.60,1.60,1.60,38.83,10.32,10.32
1970,Virginia,51,1.45,1.45,1.45,38.83,9.66,9.66
1970,Washington,53,1.60,1.60,1.60,38.83,10.32,10.32
1970,West Virginia,54,1.00,1.00,1.00,38.83,6.45,6.45
1970,Wisconsin,55,1.30,1.30,1.30,38.83,8.38,8.38
1970,Wyoming,56,1.30,1.30,1.30,38.83,8.38,8.38
1971,Alabama,1,1.45,1.45,1.45,40.49,9.17,9.17
1971,Alaska,2,2.10,2.10,2.10,40.49,12.99,12.99
1971,Arizona,4,0.13,0.66,0.47,40.49,4.08,2.89
1971,Arkansas,5,1.10,1.10,1.10,40.49,6.80,6.80
1971,California,6,1.65,1.65,1.65,40.49,10.20,10.20
1971,Colorado,8,1.13,1.25,1.00,40.49,7.73,6.18
1971,Connecticut,9,1.60,1.60,1.60,40.49,9.89,9.89
1971,Delaware,10,1.25,1.25,1.25,40.49,7.73,7.73
1971,District of Columbia,,1.80,2.00,1.60,40.49,12.37,9.89
1971,Federal (FLSA),,1.45,1.60,1.30,40.49,9.89,8.04
1971,Florida,12,1.45,1.45,1.45,40.49,9.17,9.17
1971,Georgia,13,1.45,1.45,1.45,40.49,9.17,9.17
1971,Hawaii,15,1.60,1.60,1.60,40.49,9.89,9.89
1971,Idaho,16,1.25,1.25,1.25,40.49,7.73,7.73
1971,Illinois,17,1.45,1.45,1.45,40.49,9.17,9.17
1971,Indiana,18,1.25,1.25,1.25,40.49,7.73,7.73
1971,Iowa,19,1.45,1.45,1.45,40.49,9.17,9.17
1971,Kansas,20,1.45,1.45,1.45,40.49,9.17,9.17
1971,Kentucky,21,0.70,0.75,0.65,40.49,4.64,4.02
1971,Louisiana,22,1.45,1.45,1.45,40.49,9.17,9.17
1971,Maine,23,1.60,1.60,1.60,40.49,9.89,9.89
1971,Maryland,24,1.30,1.30,1.30,40.49,8.04,8.04
1971,Massachusetts,25,1.60,1.60,1.60,40.49,9.89,9.89
1971,Michigan,26,1.25,1.25,1.25,40.49,7.73,7.73
1971,Minnesota,27,0.93,1.15,0.70,40.49,7.11,4.33
1971,Mississippi,28,1.45,1.45,1.45,40.49,9.17,9.17
1971,Missouri,29,1.45,1.45,1.45,40.49,9.17,9.17
1971,Montana,30,1.45,1.45,1.45,40.49,9.17,9.17
1971,Nebraska,31,1.00,1.00,1.00,40.49,6.18,6.18
1971,Nevada,32,1.30,1.30,1.30,40.49,8.04,8.04
1971,New Hampshire,33,1.53,1.60,1.45,40.49,9.89,8.97
1971,New Jersey,34,1.50,1.50,1.50,40.49,9.28,9.28
1971,New Mexico,35,1.45,1.60,1.30,40.49,9.89,8.04
1971,New York,36,1.60,1.60,1.60,40.49,9.89,9.89
1971,North Carolina,37,1.25,1.25,1.25,40.49,7.73,7.73
1971,North Dakota,38,1.23,1.45,1.00,40.49,8.97,6.18
1971,Ohio,39,1.00,1.25,0.75,40.49,7.73,4.64
1971,Oklahoma,40,1.00,1.00,1.00,40.49,6.18,6.18
1971,Oregon,41,1.25,1.25,1.25,40.49,7.73,7.73
1971,Pennsylvania,42,1.30,1.30,1.30,40.49,8.04,8.04
1971,Rhode Island,44,1.60,1.60,1.60,40.49,9.89,9.89
1971,South Carolina,45,1.45,1.45,1.45,40.49,9.17,9.17
1971,South Dakota,46,1.00,1.00,1.00,40.49,6.18,6.18
1971,Tennessee,47,1.45,1.45,1.45,40.49,9.17,9.17
1971,Texas,48,1.45,1.45,1.45,40.49,9.17,9.17
1971,Utah,49,1.08,1.15,1.00,40.49,7.11,6.18
1971,Vermont,50,1.60,1.60,1.60,40.49,9.89,9.89
1971,Virginia,51,1.45,1.45,1.45,40.49,9.17,9.17
1971,Washington,53,1.60,1.60,1.60,40.49,9.89,9.89
1971,West Virginia,54,1.00,1.00,1.00,40.49,6.18,6.18
1971,Wisconsin,55,1.30,1.30,1.30,40.49,8.04,8.04
1971,Wyoming,56,1.30,1.30,1.30,40.49,8.04,8.04
1972,Alabama,1,1.60,1.60,1.60,41.82,9.80,9.80
1972,Alaska,2,2.10,2.10,2.10,41.82,12.57,12.57
1972,Arizona,4,0.13,0.66,0.47,41.82,3.95,2.80
1972,Arkansas,5,1.20,1.20,1.20,41.82,7.19,7.19
1972,California,6,1.65,1.65,1.65,41.82,9.88,9.88
1972,Colorado,8,1.13,1.25,1.00,41.82,7.49,5.99
1972,Connecticut,9,1.85,1.85,1.85,41.82,11.08,11.08
1972,Delaware,10,1.60,1.60,1.60,41.82,9.58,9.58
1972,District of Columbia,,1.93,2.25,1.60,41.82,13.47,9.58
1972,Federal (FLSA),,1.60,1.60,1.60,41.82,9.58,9.58
1972,Florida,12,1.60,1.60,1.60,41.82,9.80,9.80
1972,Georgia,13,1.25,1.25,1.25,41.82,7.49,7.49
1972,Hawaii,15,1.60,1.60,1.60,41.82,9.58,9.58
1972,Idaho,16,1.40,1.40,1.40,41.82,8.38,8.38
1972,Illinois,17,1.40,1.40,1.40,41.82,8.38,8.38
1972,Indiana,18,1.25,1.25,1.25,41.82,7.49,7.49
1972,Iowa,19,1.60,1.60,1.60,41.82,9.80,9.80
1972,Kansas,20,1.60,1.60,1.60,41.82,9.80,9.80
1972,Kentucky,21,0.70,0.75,0.65,41.82,4.49,3.89
1972,Louisiana,22,1.60,1.60,1.60,41.82,9.80,9.80
1972,Maine,23,1.60,1.80,1.40,41.82,10.78,8.38
1972,Maryland,24,1.60,1.60,1.60,41.82,9.58,9.58
1972,Massachusetts,25,1.75,1.75,1.75,41.82,10.48,10.48
1972,Michigan,26,1.60,1.60,1.60,41.82,9.58,9.58
1972,Minnesota,27,1.18,1.60,0.75,41.82,9.58,4.49
1972,Mississippi,28,1.60,1.60,1.60,41.82,9.80,9.80
1972,Missouri,29,1.60,1.60,1.60,41.82,9.80,9.80
1972,Montana,30,1.60,1.60,1.60,41.82,9.58,9.58
1972,Nebraska,31,1.00,1.00,1.00,41.82,5.99,5.99
1972,Nevada,32,1.60,1.60,1.60,41.82,9.58,9.58
1972,New Hampshire,33,1.60,1.60,1.60,41.82,9.58,9.58
1972,New Jersey,34,1.50,1.50,1.50,41.82,8.98,8.98
1972,New Mexico,35,1.45,1.60,1.30,41.82,9.58,7.78
1972,New York,36,1.85,1.85,1.85,41.82,11.08,11.08
1972,North Carolina,37,1.45,1.45,1.45,41.82,8.68,8.68
1972,North Dakota,38,1.23,1.45,1.00,41.82,8.68,5.99
1972,Ohio,39,1.00,1.25,0.75,41.82,7.49,4.49
1972,Oklahoma,40,1.40,1.40,1.40,41.82,8.38,8.38
1972,Oregon,41,1.25,1.25,1.25,41.82,7.49,7.49
1972,Pennsylvania,42,1.60,1.60,1.60,41.82,9.58,9.58
1972,Rhode Island,44,1.60,1.60,1.60,41.82,9.58,9.58
1972,South Carolina,45,1.60,1.60,1.60,41.82,9.80,9.80
1972,South Dakota,46,1.00,1.00,1.00,41.82,5.99,5.99
1972,Tennessee,47,1.60,1.60,1.60,41.82,9.80,9.80
1972,Texas,48,1.40,1.40,1.40,41.82,8.38,8.38
1972,Utah,49,1.28,1.35,1.20,41.82,8.08,7.19
1972,Vermont,50,1.60,1.60,1.60,41.82,9.58,9.58
1972,Virginia,51,1.60,1.60,1.60,41.82,9.80,9.80
1972,Washington,53,1.60,1.60,1.60,41.82,9.58,9.58
1972,West Virginia,54,1.20,1.20,1.20,41.82,7.19,7.19
1972,Wisconsin,55,1.45,1.45,1.45,41.82,8.68,8.68
1972,Wyoming,56,1.50,1.50,1.50,41.82,8.98,8.98
1973,Alabama,1,1.60,1.60,1.60,44.40,9.45,9.45
1973,Alaska,2,2.10,2.10,2.10,44.40,11.84,11.84
1973,Arizona,4,0.13,0.66,0.47,44.40,3.72,2.64
1973,Arkansas,5,1.20,1.20,1.20,44.40,6.77,6.77
1973,California,6,1.65,1.65,1.65,44.40,9.31,9.31
1973,Colorado,8,1.13,1.25,1.00,44.40,7.05,5.64
1973,Connecticut,9,1.85,1.85,1.85,44.40,10.43,10.43
1973,Delaware,10,1.60,1.60,1.60,44.40,9.02,9.02
1973,District of Columbia,,1.93,2.25,1.60,44.40,12.69,9.02
1973,Federal (FLSA),,1.60,1.60,1.60,44.40,9.02,9.02
1973,Florida,12,1.60,1.60,1.60,44.40,9.45,9.45
1973,Georgia,13,1.25,1.25,1.25,44.40,7.05,7.05
1973,Hawaii,15,1.60,1.60,1.60,44.40,9.02,9.02
1973,Idaho,16,1.40,1.40,1.40,44.40,7.90,7.90
1973,Illinois,17,1.40,1.40,1.40,44.40,7.90,7.90
1973,Indiana,18,1.25,1.25,1.25,44.40,7.05,7.05
1973,Iowa,19,1.60,1.60,1.60,44.40,9.45,9.45
1973,Kansas,20,1.60,1.60,1.60,44.40,9.45,9.45
1973,Kentucky,21,0.70,0.75,0.65,44.40,4.23,3.67
1973,Louisiana,22,1.60,1.60,1.60,44.40,9.45,9.45
1973,Maine,23,1.60,1.80,1.40,44.40,10.15,7.90
1973,Maryland,24,1.60,1.60,1.60,44.40,9.02,9.02
1973,Massachusetts,25,1.75,1.75,1.75,44.40,9.87,9.87
1973,Michigan,26,1.60,1.60,1.60,44.40,9.02,9.02
1973,Minnesota,27,1.18,1.60,0.75,44.40,9.02,4.23
1973,Mississippi,28,1.60,1.60,1.60,44.40,9.45,9.45
1973,Missouri,29,1.60,1.60,1.60,44.40,9.45,9.45
1973,Montana,30,1.60,1.60,1.60,44.40,9.02,9.02
1973,Nebraska,31,1.00,1.00,1.00,44.40,5.64,5.64
1973,Nevada,32,1.60,1.60,1.60,44.40,9.02,9.02
1973,New Hampshire,33,1.60,1.60,1.60,44.40,9.02,9.02
1973,New Jersey,34,1.50,1.50,1.50,44.40,8.46,8.46
1973,New Mexico,35,1.45,1.60,1.30,44.40,9.02,7.33
1973,New York,36,1.85,1.85,1.85,44.40,10.43,10.43
1973,North Carolina,37,1.45,1.45,1.45,44.40,8.18,8.18
1973,North Dakota,38,1.23,1.45,1.00,44.40,8.18,5.64
1973,Ohio,39,1.00,1.25,0.75,44.40,7.05,4.23
1973,Oklahoma,40,1.40,1.40,1.40,44.40,7.90,7.90
1973,Oregon,41,1.25,1.25,1.25,44.40,7.05,7.05
1973,Pennsylvania,42,1.60,1.60,1.60,44.40,9.02,9.02
1973,Rhode Island,44,1.60,1.60,1.60,44.40,9.02,9.02
1973,South Carolina,45,1.60,1.60,1.60,44.40,9.45,9.45
1973,South Dakota,46,1.00,1.00,1.00,44.40,5.64,5.64
1973,Tennessee,47,1.60,1.60,1.60,44.40,9.45,9.45
1973,Texas,48,1.40,1.40,1.40,44.40,7.90,7.90
1973,Utah,49,1.28,1.35,1.20,44.40,7.61,6.77
1973,Vermont,50,1.60,1.60,1.60,44.40,9.02,9.02
1973,Virginia,51,1.60,1.60,1.60,44.40,9.45,9.45
1973,Washington,53,1.60,1.60,1.60,44.40,9.02,9.02
1973,West Virginia,54,1.20,1.20,1.20,44.40,6.77,6.77
1973,Wisconsin,55,1.45,1.45,1.45,44.40,8.18,8.18
1973,Wyoming,56,1.50,1.50,1.50,44.40,8.46,8.46
1974,Alabama,1,1.60,1.60,1.60,49.31,8.64,8.64
1974,Alaska,2,2.10,2.10,2.10,49.31,10.66,10.66
1974,Arizona,4,0.13,0.66,0.47,49.31,3.35,2.38
1974,Arkansas,5,1.20,1.20,1.20,49.31,6.09,6.09
1974,California,6,1.65,1.65,1.65,49.31,8.38,8.38
1974,Colorado,8,1.13,1.25,1.00,49.31,6.35,5.08
1974,Connecticut,9,1.85,1.85,1.85,49.31,9.39,9.39
1974,Delaware,10,1.60,1.60,1.60,49.31,8.13,8.13
1974,District of Columbia,,1.93,2.25,1.60,49.31,11.43,8.13
1974,Federal (FLSA),,1.60,1.60,1.60,49.31,8.13,8.13
1974,Florida,12,1.60,1.60,1.60,49.31,8.64,8.64
1974,Georgia,13,1.25,1.25,1.25,49.31,6.35,6.35
1974,Hawaii,15,1.60,1.60,1.60,49.31,8.13,8.13
1974,Idaho,16,1.40,1.40,1.40,49.31,7.11,7.11
1974,Illinois,17,1.40,1.40,1.40,49.31,7.11,7.11
1974,Indiana,18,1.25,1.25,1.25,49.31,6.35,6.35
1974,Iowa,19,1.60,1.60,1.60,49.31,8.64,8.64
1974,Kansas,20,1.60,1.60,1.60,49.31,8.64,8.64
1974,Kentucky,21,0.60,0.75,0.65,49.31,3.81,3.30
1974,Louisiana,22,1.60,1.60,1.60,49.31,8.64,8.64
1974,Maine,23,1.60,1.80,1.40,49.31,9.14,7.11
1974,Maryland,24,1.60,1.60,1.60,49.31,8.13,8.13
1974,Massachusetts,25,1.75,1.75,1.75,49.31,8.89,8.89
1974,Michigan,26,1.60,1.60,1.60,49.31,8.13,8.13
1974,Minnesota,27,1.18,1.60,0.75,49.31,8.13,3.81
1974,Mississippi,28,1.60,1.60,1.60,49.31,8.64,8.64
1974,Missouri,29,1.60,1.60,1.60,49.31,8.64,8.64
1974,Montana,30,1.60,1.60,1.60,49.31,8.13,8.13
1974,Nebraska,31,1.00,1.00,1.00,49.31,5.08,5.08
1974,Nevada,32,1.60,1.60,1.60,49.31,8.13,8.13
1974,New Hampshire,33,1.60,1.60,1.60,49.31,8.13,8.13
1974,New Jersey,34,1.50,1.50,1.50,49.31,7.62,7.62
1974,New Mexico,35,1.45,1.60,1.30,49.31,8.13,6.60
1974,New York,36,1.85,1.85,1.85,49.31,9.39,9.39
1974,North Carolina,37,1.45,1.45,1.45,49.31,7.36,7.36
1974,North Dakota,38,1.23,1.45,1.00,49.31,7.36,5.08
1974,Ohio,39,1.00,1.25,0.75,49.31,6.35,3.81
1974,Oklahoma,40,1.40,1.40,1.40,49.31,7.11,7.11
1974,Oregon,41,1.25,1.25,1.25,49.31,6.35,6.35
1974,Pennsylvania,42,1.60,1.60,1.60,49.31,8.13,8.13
1974,Rhode Island,44,1.60,1.60,1.60,49.31,8.13,8.13
1974,South Carolina,45,1.60,1.60,1.60,49.31,8.64,8.64
1974,South Dakota,46,1.00,1.00,1.00,49.31,5.08,5.08
1974,Tennessee,47,1.60,1.60,1.60,49.31,8.64,8.64
1974,Texas,48,1.40,1.40,1.40,49.31,7.11,7.11
1974,Utah,49,1.28,1.35,1.20,49.31,6.86,6.09
1974,Vermont,50,1.60,1.60,1.60,49.31,8.13,8.13
1974,Virginia,51,1.60,1.60,1.60,49.31,8.64,8.64
1974,Washington,53,1.60,1.60,1.60,49.31,8.13,8.13
1974,West Virginia,54,1.20,1.20,1.20,49.31,6.09,6.09
1974,Wisconsin,55,1.45,1.45,1.45,49.31,7.36,7.36
1974,Wyoming,56,1.50,1.50,1.50,49.31,7.62,7.62
1975,Alabama,1,1.60,1.60,1.60,53.82,7.73,7.73
1975,Alaska,2,2.10,2.10,2.10,53.82,9.77,9.77
1975,Arizona,4,0.13,0.66,0.47,53.82,3.07,2.18
1975,Arkansas,5,1.20,1.20,1.20,53.82,5.58,5.58
1975,California,6,1.65,1.65,1.65,53.82,7.68,7.68
1975,Colorado,8,1.13,1.25,1.00,53.82,5.82,4.65
1975,Connecticut,9,1.85,1.85,1.85,53.82,8.61,8.61
1975,Delaware,10,1.60,1.60,1.60,53.82,7.44,7.44
1975,District of Columbia,,1.93,2.25,1.60,53.82,10.47,7.44
1975,Federal (FLSA),,1.60,1.60,1.60,53.82,7.44,7.44
1975,Florida,12,1.60,1.60,1.60,53.82,7.73,7.73
1975,Georgia,13,1.25,1.25,1.25,53.82,5.82,5.82
1975,Hawaii,15,1.60,1.60,1.60,53.82,7.44,7.44
1975,Idaho,16,1.40,1.40,1.40,53.82,6.51,6.51
1975,Illinois,17,1.40,1.40,1.40,53.82,6.51,6.51
1975,Indiana,18,1.25,1.25,1.25,53.82,5.82,5.82
1975,Iowa,19,1.60,1.60,1.60,53.82,7.73,7.73
1975,Kansas,20,1.60,1.60,1.60,53.82,7.73,7.73
1975,Kentucky,21,0.60,0.75,0.65,53.82,3.49,3.02
1975,Louisiana,22,1.60,1.60,1.60,53.82,7.73,7.73
1975,Maine,23,1.60,1.80,1.40,53.82,8.38,6.51
1975,Maryland,24,1.60,1.60,1.60,53.82,7.44,7.44
1975,Massachusetts,25,1.75,1.75,1.75,53.82,8.14,8.14
1975,Michigan,26,1.60,1.60,1.60,53.82,7.44,7.44
1975,Minnesota,27,1.18,1.60,0.75,53.82,7.44,3.49
1975,Mississippi,28,1.60,1.60,1.60,53.82,7.73,7.73
1975,Missouri,29,1.60,1.60,1.60,53.82,7.73,7.73
1975,Montana,30,1.60,1.60,1.60,53.82,7.44,7.44
1975,Nebraska,31,1.00,1.00,1.00,53.82,4.65,4.65
1975,Nevada,32,1.60,1.60,1.60,53.82,7.44,7.44
1975,New Hampshire,33,1.60,1.60,1.60,53.82,7.44,7.44
1975,New Jersey,34,1.50,1.50,1.50,53.82,6.98,6.98
1975,New Mexico,35,1.45,1.60,1.30,53.82,7.44,6.05
1975,New York,36,1.85,1.85,1.85,53.82,8.61,8.61
1975,North Carolina,37,1.45,1.45,1.45,53.82,6.75,6.75
1975,North Dakota,38,1.23,1.45,1.00,53.82,6.75,4.65
1975,Ohio,39,1.00,1.25,0.75,53.82,5.82,3.49
1975,Oklahoma,40,1.40,1.40,1.40,53.82,6.51,6.51
1975,Oregon,41,1.25,1.25,1.25,53.82,5.82,5.82
1975,Pennsylvania,42,1.60,1.60,1.60,53.82,7.44,7.44
